iteration,swarm_best_fitness
1,-3.34
2,-3.34
3,-3.34
4,-3.34
5,-3.34
6,-3.34
7,-3.34
8,-3.34
9,-3.34
10,-3.34
11,-3.34
12,-3.34
13,-3.34
14,-3.34
15,-3.34
16,-3.34
17,-3.34
18,-3.34
19,-3.34
20,-3.34
21,-3.34
22,-3.34
23,-3.34
24,-3.34
25,-3.34
26,-3.34
27,-3.34
28,-3.34
29,-3.34
30,-3.34
31,-3.34
32,-3.34
33,-3.34
34,-3.34
35,-3.34
36,-3.34
37,-3.34
38,-3.34
39,-3.34
40,-3.34
41,-3.34
42,-3.34
43,-3.34
44,-3.34
45,-3.34
46,-3.34
47,-3.34
48,-3.34
49,-3.34
50,-3.34
51,-3.34
52,-3.34
53,-3.34
54,-3.34
55,-3.34
56,-3.34
57,-3.34
58,-3.34
59,-3.34
60,-3.34
61,-3.34
62,-3.34
63,-3.34
64,-3.34
65,-3.34
66,-3.34
67,-3.34
68,-3.34
69,-3.34
70,-3.34
71,-3.34
72,-3.34
73,-3.34
74,-3.34
75,-3.34
76,-3.34
77,-3.34
78,-3.34
79,-3.34
80,-3.34
81,-3.34
82,-3.34
83,-3.34
84,-3.34
85,-3.34
86,-3.34
87,-3.34
88,-3.34
89,-3.34
90,-3.34
91,-3.34
92,-3.34
93,-3.34
94,-3.34
95,-3.34
96,-3.34
97,-3.34
98,-3.34
99,-3.34
100,-3.34
