iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness,particle_4_fitness,particle_5_fitness
1,-47.75,-46.97,-53.81,-45.48,-43.23
2,-54.37,-51.15,-43.12,-42.67,-53.84
3,-45.65,-54.3,-42.78,-42.41,-46.47
4,-42.66,-38.0,-49.58,-52.88,-51.54
5,-51.2,-49.71,-46.2,-49.52,-35.69
6,-41.27,-48.66,-47.0,-40.41,-45.85
7,-49.18,-42.83,-43.76,-45.59,-43.12
8,-42.25,-45.2,-41.38,-43.47,-48.42
9,-44.44,-44.11,-40.14,-42.05,-40.41
10,-49.42,-46.21,-43.02,-43.34,-40.41
11,-43.8,-50.44,-39.77,-46.31,-40.41
12,-55.95,-44.29,-40.68,-41.74,-41.07
13,-38.4,-39.55,-40.68,-53.42,-35.69
14,-49.42,-42.27,-43.13,-42.79,-35.69
15,-37.3,-53.06,-37.76,-47.19,-35.69
16,-36.6,-53.33,-37.76,-46.31,-35.69
17,-36.6,-42.18,-37.76,-42.15,-35.69
18,-35.69,-50.51,-35.69,-42.38,-35.69
19,-35.69,-47.99,-35.69,-36.87,-35.69
20,-35.69,-46.67,-35.69,-37.3,-35.69
21,-35.69,-40.89,-35.69,-37.3,-35.69
22,-35.69,-38.87,-35.69,-36.6,-35.69
23,-35.69,-42.42,-35.69,-35.69,-35.69
24,-35.69,-51.38,-35.69,-35.69,-35.69
25,-35.69,-44.95,-35.69,-35.69,-35.69
26,-35.69,-43.8,-35.69,-35.69,-35.69
27,-35.69,-42.27,-35.69,-35.69,-35.69
28,-35.69,-40.03,-35.69,-35.69,-35.69
29,-35.69,-48.39,-35.69,-35.69,-35.69
30,-35.69,-46.94,-35.69,-35.69,-35.69
31,-35.69,-38.03,-35.69,-35.69,-35.69
32,-35.69,-44.53,-35.69,-35.69,-35.69
33,-35.69,-42.48,-35.69,-35.69,-35.69
34,-35.69,-47.5,-35.69,-35.69,-35.69
35,-35.69,-42.97,-35.69,-35.69,-35.69
36,-35.69,-41.84,-35.69,-35.69,-35.69
37,-35.69,-46.31,-35.69,-35.69,-35.69
38,-35.69,-46.36,-35.69,-35.69,-35.69
39,-35.69,-45.02,-35.69,-35.69,-35.69
40,-35.69,-43.17,-35.69,-35.69,-35.69
41,-35.69,-48.39,-35.69,-35.69,-35.69
42,-35.69,-42.27,-35.69,-35.69,-35.69
43,-35.69,-48.39,-35.69,-35.69,-35.69
44,-35.69,-42.88,-35.69,-35.69,-35.69
45,-35.69,-38.87,-35.69,-35.69,-35.69
46,-35.69,-46.94,-35.69,-35.69,-35.69
47,-35.69,-44.12,-35.69,-35.69,-35.69
48,-35.69,-46.67,-35.69,-35.69,-35.69
49,-35.69,-45.69,-35.69,-35.69,-35.69
50,-35.69,-47.61,-35.69,-35.69,-35.69
51,-35.69,-38.4,-35.69,-35.69,-35.69
52,-35.69,-36.92,-35.69,-35.69,-35.69
53,-35.69,-41.49,-35.69,-35.69,-35.69
54,-35.69,-38.7,-35.69,-35.69,-35.69
