iteration,swarm_best_fitness
1,-8.33
2,-8.33
3,-7.86
4,-7.86
5,-7.86
6,-7.86
7,-7.83
8,-7.83
9,-7.48
10,-7.48
11,-7.48
12,-7.48
13,-7.48
14,-7.48
15,-7.48
16,-7.48
17,-7.48
18,-7.48
19,-7.48
20,-7.48
21,-7.48
22,-7.48
23,-7.48
24,-7.48
25,-7.48
26,-7.48
27,-7.48
28,-7.48
29,-7.48
30,-7.48
31,-7.48
32,-7.48
33,-7.48
34,-7.48
35,-7.48
36,-7.48
37,-7.48
38,-7.48
39,-7.48
40,-7.48
41,-7.48
42,-7.48
43,-7.48
44,-7.48
45,-7.48
46,-7.48
47,-7.48
48,-7.48
49,-7.48
50,-7.48
51,-7.48
52,-7.48
53,-7.48
54,-7.48
55,-7.48
56,-7.48
57,-7.48
58,-7.48
59,-7.48
60,-7.48
61,-7.48
62,-7.48
63,-7.48
64,-7.48
65,-7.48
66,-7.48
67,-7.48
68,-7.48
69,-7.48
70,-7.48
71,-7.48
72,-7.48
73,-7.48
74,-7.48
75,-7.48
76,-7.48
77,-7.48
78,-7.48
79,-7.48
80,-7.48
81,-7.48
82,-7.48
83,-7.48
84,-7.48
85,-7.48
86,-7.48
87,-7.48
88,-7.48
89,-7.48
90,-7.48
91,-7.48
92,-7.48
93,-7.48
94,-7.48
95,-7.48
96,-7.48
97,-7.48
98,-7.48
99,-7.48
100,-7.48
101,-7.48
102,-7.48
103,-7.48
104,-7.48
105,-7.48
106,-7.48
107,-7.48
108,-7.48
109,-7.48
110,-7.48
111,-7.48
112,-7.48
113,-7.48
114,-7.48
115,-7.48
116,-7.48
117,-7.48
118,-7.48
119,-7.48
120,-7.48
121,-7.48
122,-7.48
123,-7.48
124,-7.48
125,-7.48
126,-7.48
127,-7.48
128,-7.48
129,-7.48
130,-7.48
131,-7.48
132,-7.48
133,-7.48
134,-7.48
135,-7.48
136,-7.48
137,-7.48
138,-7.48
139,-7.48
140,-7.48
141,-7.48
142,-7.48
143,-7.48
144,-7.48
145,-7.48
146,-7.48
147,-7.48
148,-7.48
149,-7.48
150,-7.48
