iteration,swarm_best_fitness
1,-4.86
2,-4.86
3,-4.86
4,-4.86
5,-4.86
6,-4.86
7,-4.86
8,-4.86
9,-4.86
10,-4.86
11,-4.86
12,-4.86
13,-4.86
14,-4.86
15,-4.86
16,-4.86
17,-4.86
18,-4.86
19,-4.86
20,-4.86
21,-4.86
22,-4.86
23,-4.86
24,-4.86
25,-4.86
26,-4.86
27,-4.86
28,-4.86
29,-4.86
30,-4.86
31,-4.86
32,-4.86
33,-4.86
34,-4.86
35,-4.86
36,-4.86
37,-4.86
38,-4.86
39,-4.86
40,-4.86
41,-4.86
42,-4.86
43,-4.86
44,-4.86
45,-4.86
46,-4.86
47,-4.86
48,-4.86
49,-4.86
50,-4.86
51,-4.86
52,-4.86
53,-4.86
54,-4.86
55,-4.86
56,-4.86
57,-4.86
58,-4.86
59,-4.86
60,-4.86
61,-4.86
62,-4.86
63,-4.86
64,-4.86
65,-4.86
66,-4.86
67,-4.86
68,-4.86
69,-4.86
70,-4.86
71,-4.86
72,-4.86
73,-4.86
74,-4.86
75,-4.86
76,-4.86
77,-4.86
78,-4.86
79,-4.86
80,-4.86
81,-4.86
82,-4.86
83,-4.86
84,-4.86
85,-4.86
86,-4.86
87,-4.86
88,-4.86
89,-4.86
90,-4.86
91,-4.86
92,-4.86
93,-4.86
94,-4.86
95,-4.86
96,-4.86
97,-4.86
98,-4.86
99,-4.86
100,-4.86
