iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness,particle_4_fitness,particle_5_fitness
1,-45.88,-44.8,-63.59,-74.07,-50.7
2,-50.17,-68.16,-66.75,-52.45,-66.91
3,-66.48,-66.04,-54.86,-72.99,-59.73
4,-50.68,-52.57,-56.6,-44.04,-62.35
5,-55.31,-60.99,-77.98,-54.23,-63.82
6,-69.52,-58.88,-55.75,-62.31,-69.64
7,-68.86,-61.37,-58.42,-54.25,-58.43
8,-56.9,-54.92,-66.43,-46.14,-56.36
9,-61.93,-70.21,-64.47,-44.04,-46.79
10,-71.28,-48.24,-60.39,-44.04,-64.25
11,-71.04,-62.04,-62.08,-44.04,-60.39
12,-62.12,-59.31,-67.42,-44.04,-69.82
13,-78.11,-66.52,-68.85,-47.24,-56.65
14,-56.92,-54.27,-67.49,-44.04,-58.38
15,-58.47,-61.03,-68.16,-44.04,-59.79
16,-67.86,-51.22,-74.49,-44.04,-54.2
17,-59.19,-51.51,-64.09,-44.04,-43.3
18,-82.74,-65.35,-64.99,-54.68,-43.3
19,-70.67,-68.86,-58.94,-53.36,-43.3
20,-51.88,-56.65,-63.88,-52.31,-43.3
21,-68.8,-65.15,-73.62,-41.95,-42.63
22,-71.38,-55.73,-64.88,-41.95,-41.95
23,-57.07,-77.27,-67.11,-52.31,-41.95
24,-57.89,-71.37,-54.9,-41.95,-41.95
25,-70.14,-64.24,-50.34,-41.95,-41.95
26,-76.48,-59.15,-58.74,-41.95,-41.95
27,-60.6,-74.69,-63.92,-41.95,-41.95
28,-58.49,-46.4,-70.53,-41.95,-41.95
29,-68.53,-73.42,-60.87,-41.95,-41.95
30,-55.26,-68.61,-56.42,-41.95,-41.95
31,-69.65,-76.55,-56.42,-41.95,-41.95
32,-63.82,-72.04,-55.85,-41.95,-41.95
33,-70.75,-63.07,-56.15,-41.95,-41.95
34,-60.27,-62.62,-56.14,-41.95,-41.95
35,-72.72,-64.87,-52.72,-41.95,-41.95
36,-76.17,-70.98,-58.94,-41.95,-41.95
37,-64.68,-54.77,-58.4,-41.95,-41.95
38,-84.11,-55.71,-58.53,-41.95,-41.95
39,-82.57,-68.27,-58.75,-41.95,-41.95
40,-71.2,-64.28,-55.35,-41.95,-41.95
41,-63.27,-62.91,-54.93,-41.95,-41.95
42,-73.09,-64.69,-56.22,-41.95,-41.95
43,-70.86,-64.74,-63.56,-41.95,-41.95
44,-67.26,-59.44,-65.39,-41.95,-41.95
45,-57.52,-57.66,-56.12,-41.95,-41.95
46,-61.99,-68.97,-53.92,-41.95,-41.95
47,-75.18,-50.09,-61.37,-41.95,-41.95
48,-72.9,-64.81,-59.03,-41.95,-41.95
49,-75.41,-64.98,-59.42,-41.95,-41.95
50,-57.76,-62.37,-56.42,-41.95,-41.95
51,-59.0,-59.58,-54.1,-41.95,-41.95
52,-64.23,-57.71,-58.47,-41.95,-41.95
53,-81.58,-61.84,-59.89,-41.95,-41.95
54,-69.09,-62.95,-65.93,-41.95,-41.95
